score,darts_remaining,target_amount,target,target_text
91,2,51,T17,Treble Seventeen
91,3,51,T17,Treble Seventeen
92,1,60,T20,Treble Twenty
92,2,60,T20,Treble Twenty
92,3,60,T20,Treble Twenty
93,1,57,T19,Treble Nineteen
93,2,57,T19,Treble Nineteen
93,3,57,T19,Treble Nineteen
94,1,54,T18,Treble Eighteen
94,2,54,T18,Treble Eighteen
94,3,54,T18,Treble Eighteen
95,1,57,T19,Treble Nineteen
95,2,57,T19,Treble Nineteen
95,3,57,T19,Treble Nineteen
96,1,60,T20,Treble Twenty
96,2,60,T20,Treble Twenty
96,3,60,T20,Treble Twenty
97,1,57,T19,Treble Nineteen
97,2,57,T19,Treble Nineteen
97,3,57,T19,Treble Nineteen
98,1,60,T20,Treble Twenty
98,2,60,T20,Treble Twenty
98,3,60,T20,Treble Twenty
99,1,57,T19,Treble Nineteen
99,2,57,T19,Treble Nineteen
99,3,57,T19,Treble Nineteen
100,1,60,T20,Treble Twenty
100,2,60,T20,Treble Twenty
100,3,60,T20,Treble Twenty
101,1,57,T19,Treble Nineteen
101,2,57,T19,Treble Nineteen
101,3,57,T19,Treble Nineteen
102,1,60,T20,Treble Twenty
102,2,60,T20,Treble Twenty
102,3,60,T20,Treble Twenty
103,1,57,T19,Treble Nineteen
103,2,57,T19,Treble Nineteen
103,3,57,T19,Treble Nineteen
104,1,54,T18,Treble Eighteen
104,2,54,T18,Treble Eighteen
104,3,54,T18,Treble Eighteen
105,1,57,T19,Treble Nineteen
105,2,57,T19,Treble Nineteen
105,3,57,T19,Treble Nineteen
106,1,60,T20,Treble Twenty
106,2,60,T20,Treble Twenty
106,3,60,T20,Treble Twenty
107,1,57,T19,Treble Nineteen
107,2,57,T19,Treble Nineteen
107,3,57,T19,Treble Nineteen
108,1,60,T20,Treble Twenty
108,2,60,T20,Treble Twenty
108,3,60,T20,Treble Twenty
109,1,57,T19,Treble Nineteen
109,2,57,T19,Treble Nineteen
109,3,57,T19,Treble Nineteen
110,1,60,T20,Treble Twenty
110,2,60,T20,Treble Twenty
110,3,60,T20,Treble Twenty
111,1,57,T19,Treble Nineteen
111,2,57,T19,Treble Nineteen
111,3,57,T19,Treble Nineteen
112,1,60,T20,Treble Twenty
112,2,60,T20,Treble Twenty
112,3,60,T20,Treble Twenty
113,1,57,T19,Treble Nineteen
113,2,57,T19,Treble Nineteen
113,3,57,T19,Treble Nineteen
114,1,60,T20,Treble Twenty
114,2,60,T20,Treble Twenty
114,3,60,T20,Treble Twenty
115,1,57,T19,Treble Nineteen
115,2,57,T19,Treble Nineteen
115,3,57,T19,Treble Nineteen
116,1,60,T20,Treble Twenty
116,2,60,T20,Treble Twenty
116,3,60,T20,Treble Twenty
117,1,57,T19,Treble Nineteen
117,2,57,T19,Treble Nineteen
117,3,57,T19,Treble Nineteen
118,1,60,T20,Treble Twenty
118,2,60,T20,Treble Twenty
118,3,60,T20,Treble Twenty
119,1,57,T19,Treble Nineteen
119,2,57,T19,Treble Nineteen
119,3,57,T19,Treble Nineteen
120,1,60,T20,Treble Twenty
120,2,60,T20,Treble Twenty
120,3,60,T20,Treble Twenty
121,1,60,T20,Treble Twenty
121,2,60,T20,Treble Twenty
121,3,60,T20,Treble Twenty
122,1,54,T18,Treble Eighteen
122,2,54,T18,Treble Eighteen
122,3,54,T18,Treble Eighteen
123,1,57,T19,Treble Nineteen
123,2,57,T19,Treble Nineteen
123,3,57,T19,Treble Nineteen
124,1,60,T20,Treble Twenty
124,2,60,T20,Treble Twenty
124,3,60,T20,Treble Twenty
125,1,50,Bull,Bull
125,2,50,Bull,Bull
125,3,50,Bull,Bull
126,1,57,T19,Treble Nineteen
126,2,57,T19,Treble Nineteen
126,3,57,T19,Treble Nineteen
127,1,60,T20,Treble Twenty
127,2,60,T20,Treble Twenty
127,3,60,T20,Treble Twenty
128,1,54,T18,Treble Eighteen
128,2,54,T18,Treble Eighteen
128,3,54,T18,Treble Eighteen
129,1,57,T19,Treble Nineteen
129,2,57,T19,Treble Nineteen
129,3,57,T19,Treble Nineteen
130,1,60,T20,Treble Twenty
130,2,60,T20,Treble Twenty
130,3,60,T20,Treble Twenty
131,1,57,T19,Treble Nineteen
131,2,57,T19,Treble Nineteen
131,3,57,T19,Treble Nineteen
132,1,60,T20,Treble Twenty
132,2,60,T20,Treble Twenty
132,3,50,Bull,Bull
133,1,60,T20,Treble Twenty
133,2,60,T20,Treble Twenty
133,3,60,T20,Treble Twenty
134,1,60,T20,Treble Twenty
134,2,60,T20,Treble Twenty
134,3,60,T20,Treble Twenty
135,1,60,T20,Treble Twenty
135,2,60,T20,Treble Twenty
135,3,50,Bull,Bull
136,1,60,T20,Treble Twenty
136,2,60,T20,Treble Twenty
136,3,60,T20,Treble Twenty
137,1,60,T20,Treble Twenty
